UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1467781200,07/06/2016,00:00:00,13.79,375500,13.52,13.84,13.36,13.79,13.63272254,14.01333289,-0.38061036,-0.47705344
1467867600,07/07/2016,00:00:00,13.76,294100,13.84,13.95,13.65,13.76,13.65230368,13.99456749,-0.34226381,-0.45009552
1467954000,07/08/2016,00:00:00,13.89,430000,13.87,14.16,13.77,13.89,13.68887235,13.98682175,-0.29794941,-0.41966630
1468213200,07/11/2016,00:00:00,14.01,313800,13.89,14.1,13.89,14.01,13.73827660,13.98853866,-0.25026206,-0.38578545
1468299600,07/12/2016,00:00:00,14.12,482400,14.07,14.27,13.98,14.12,13.79700328,13.99827654,-0.20127326,-0.34888301
1468386000,07/13/2016,00:00:00,13.9,317000,14.18,14.22,13.82,13.9,13.81284893,13.99099679,-0.17814787,-0.31473598
1468472400,07/14/2016,00:00:00,13.95,196300,13.97,14.06,13.9,13.95,13.83394909,13.98795999,-0.15401090,-0.28259097
1468558800,07/15/2016,00:00:00,13.92,190900,14.04,14.04,13.79,13.92,13.84718769,13.98292592,-0.13573823,-0.25322042
1468818000,07/18/2016,00:00:00,14.0,241800,13.91,14.05,13.84,14.0,13.87069728,13.98419067,-0.11349339,-0.22527501
1468904400,07/19/2016,00:00:00,13.97,309200,14.03,14.24,13.95,13.97,13.88597462,13.98313951,-0.09716489,-0.19965299
1468990800,07/20/2016,00:00:00,14.43,815000,14.48,14.6,14.29,14.43,13.96967083,14.01624028,-0.04656945,-0.16903628
1469077200,07/21/2016,00:00:00,14.15,515800,14.41,14.54,14.02,14.15,13.99741378,14.02614841,-0.02873463,-0.14097595
1469163600,07/22/2016,00:00:00,14.07,339200,14.14,14.15,13.94,14.07,14.00858089,14.02939668,-0.02081578,-0.11694392
1469422800,07/25/2016,00:00:00,13.99,328500,14.0,14.09,13.93,13.99,14.00572229,14.02647840,-0.02075611,-0.09770636
1469509200,07/26/2016,00:00:00,13.75,360100,13.93,13.93,13.66,13.75,13.96638040,14.00599852,-0.03961812,-0.08608871
1469595600,07/27/2016,00:00:00,14.15,783400,13.8,14.22,13.74,14.15,13.99462957,14.01666530,-0.02203573,-0.07327811
1469682000,07/28/2016,00:00:00,14.04,382800,14.25,14.3,13.99,14.04,14.00160964,14.01839380,-0.01678416,-0.06197932
1469768400,07/29/2016,00:00:00,14.12,796200,14.04,14.25,13.86,14.12,14.01982354,14.02592018,-0.00609664,-0.05080279
1470027600,08/01/2016,00:00:00,14.2,665400,14.12,14.23,14.02,14.2,14.04754299,14.03881498,0.00872801,-0.03889663
1470114000,08/02/2016,00:00:00,13.67,1186800,14.2,14.24,13.29,13.67,13.98945946,14.01149535,-0.02203590,-0.03552448
1470200400,08/03/2016,00:00:00,9.2,11755000,9.5,9.7,9.0,9.2,13.25261954,13.65508829,-0.40246875,-0.10891333
1470286800,08/04/2016,00:00:00,9.69,2644400,9.27,9.87,9.25,9.69,12.70452423,13.36137805,-0.65685382,-0.21850143
1470373200,08/05/2016,00:00:00,9.69,1206500,9.72,9.85,9.59,9.69,12.24075127,13.08942412,-0.84867285,-0.34453571
1470632400,08/08/2016,00:00:00,9.7,987000,9.72,9.83,9.65,9.7,11.84986646,12.83835566,-0.98848921,-0.47332641
1470718800,08/09/2016,00:00:00,9.79,1065700,9.72,9.95,9.7,9.79,11.53296393,12.61255154,-1.07958762,-0.59457865
1470805200,08/10/2016,00:00:00,9.52,627500,9.81,9.85,9.51,9.52,11.22327717,12.38347365,-1.16019648,-0.70770222
1470891600,08/11/2016,00:00:00,9.68,1124600,9.54,9.71,9.48,9.68,10.98584991,12.18321634,-1.19736643,-0.80563506
1470978000,08/12/2016,00:00:00,9.63,439500,9.66,9.7,9.56,9.63,10.77725762,11.99408921,-1.21683159,-0.88787437
1471237200,08/15/2016,00:00:00,9.65,1579700,9.69,9.8,9.58,9.65,10.60383337,11.82045297,-1.21661960,-0.95362341
1471323600,08/16/2016,00:00:00,9.21,1112000,9.44,9.45,9.14,9.21,10.38939747,11.62708608,-1.23768862,-1.01043645
1471410000,08/17/2016,00:00:00,9.05,733500,9.25,9.35,9.04,9.05,10.18333632,11.43619082,-1.25285450,-1.05892006
1471496400,08/18/2016,00:00:00,9.17,943600,9.08,9.2,9.01,9.17,10.02743842,11.26832483,-1.24088641,-1.09531333
1471582800,08/19/2016,00:00:00,9.09,494100,9.17,9.27,9.08,9.09,9.88321713,11.10696743,-1.22375031,-1.12100073
1471842000,08/22/2016,00:00:00,9.05,695300,9.05,9.25,9.01,9.05,9.75502988,10.95459948,-1.19956960,-1.13671450
1471928400,08/23/2016,00:00:00,9.07,445400,9.06,9.18,9.03,9.07,9.64964066,10.81499952,-1.16535885,-1.14244337
1472014800,08/24/2016,00:00:00,8.83,501500,9.07,9.13,8.81,8.83,9.52354210,10.66796251,-1.14442041,-1.14283878
1472101200,08/25/2016,00:00:00,8.82,644600,8.79,9.02,8.78,8.82,9.41530485,10.53107640,-1.11577155,-1.13742533
1472187600,08/26/2016,00:00:00,8.9,534200,8.86,9.02,8.82,8.9,9.33602718,10.41025593,-1.07422874,-1.12478602
1472446800,08/29/2016,00:00:00,8.85,555800,8.89,8.98,8.82,8.85,9.26125377,10.29468141,-1.03342764,-1.10651434
1472533200,08/30/2016,00:00:00,8.64,950100,8.86,8.98,8.63,8.64,9.16567627,10.17211242,-1.00643615,-1.08649870
1472619600,08/31/2016,00:00:00,8.5,953500,8.67,8.68,8.44,8.5,9.06326453,10.04825224,-0.98498771,-1.06619650
1472706000,09/01/2016,00:00:00,8.61,955500,8.47,8.65,8.32,8.61,8.99353153,9.94171504,-0.94818351,-1.04259391
1472792400,09/02/2016,00:00:00,8.65,484000,8.67,8.69,8.46,8.65,8.94068052,9.84603244,-0.90535192,-1.01514551
1473138000,09/06/2016,00:00:00,9.05,989100,8.65,9.12,8.62,9.05,8.95749891,9.78706708,-0.82956817,-0.97803004
1473224400,09/07/2016,00:00:00,9.22,805700,9.07,9.31,9.07,9.22,8.99788369,9.74506211,-0.74717842,-0.93185972
1473310800,09/08/2016,00:00:00,9.08,333800,9.18,9.23,9.0,9.08,9.01051697,9.69579825,-0.68528128,-0.88254403
1473397200,09/09/2016,00:00:00,8.82,641300,9.02,9.07,8.78,8.82,8.98120667,9.63092430,-0.64971764,-0.83597875
1473656400,09/12/2016,00:00:00,8.39,1781700,8.31,8.45,8.04,8.39,8.89025179,9.53900399,-0.64875219,-0.79853344
1473742800,09/13/2016,00:00:00,8.34,740400,8.24,8.36,8.18,8.34,8.80559767,9.45018888,-0.64459120,-0.76774499
1473829200,09/14/2016,00:00:00,8.31,651300,8.38,8.46,8.19,8.31,8.72935188,9.36573044,-0.63637856,-0.74147171
1473915600,09/15/2016,00:00:00,8.62,669700,8.28,8.64,8.27,8.62,8.71252851,9.31049115,-0.59796264,-0.71276989
1474002000,09/16/2016,00:00:00,8.56,873700,8.57,8.64,8.45,8.56,8.68906259,9.25489921,-0.56583663,-0.68338324
1474261200,09/19/2016,00:00:00,8.36,290100,8.58,8.64,8.31,8.36,8.63843757,9.18861038,-0.55017281,-0.65674115
1474347600,09/20/2016,00:00:00,8.35,433000,8.37,8.44,8.21,8.35,8.59406256,9.12649109,-0.53242853,-0.63187863
1474434000,09/21/2016,00:00:00,8.49,450700,8.38,8.6,8.35,8.49,8.57805294,9.07934361,-0.50129067,-0.60576104
1474520400,09/22/2016,00:00:00,8.51,1025100,8.52,8.57,8.45,8.51,8.56758325,9.03717000,-0.46958675,-0.57852618
1474606800,09/23/2016,00:00:00,8.5,696100,8.52,8.55,8.47,8.5,8.55718583,8.99737963,-0.44019380,-0.55085970
1474866000,09/26/2016,00:00:00,8.19,476300,8.41,8.47,8.18,8.19,8.50069570,8.93757374,-0.43687803,-0.52806337
1474952400,09/27/2016,00:00:00,8.35,282100,8.2,8.37,8.11,8.35,8.47751175,8.89404975,-0.41653801,-0.50575830
1475038800,09/28/2016,00:00:00,8.41,342300,8.35,8.42,8.18,8.41,8.46712533,8.85819422,-0.39106889,-0.48282042
1475125200,09/29/2016,00:00:00,8.27,789200,8.43,8.46,8.25,8.27,8.43679835,8.81462428,-0.37782592,-0.46182152
1475211600,09/30/2016,00:00:00,8.28,886900,8.27,8.36,8.09,8.28,8.41267553,8.77502248,-0.36234695,-0.44192660
